	GC-pop-S1_0	GC-pop-S2_0	GC-pop-S3_0	invitro-pop-S1_0	invitro-pop-S2_0	invitro-pop-S3_0	invivo-pop-S1_0	invivo-pop-S2_0	invivo-pop-S3_0	NAIVE-pop-S1_0	NAIVE-pop-S2_0	NAIVE-pop-S3_0
C1orf86	3.66470076631186	3.34927846106101	3.733475675834	3.87225496903037	3.71350172066785	2.87732634409022	3.20965001532237	2.92116513511901	3.00747200955627	3.48759949433808	2.02594977329521	3.07266254103253
KIAA1407	1.2539361300827	1.65831974556078	1.24603739843614	2.71278319460055	2.78715030080066	1.77426711732946	2.1970718423639	1.63777263072262	2.13860365812969	1.30831046809148	2.02594977329521	1.26851705604071
MST4	1.2539361300827	1.65831974556078	1.26851705604071	1.24603739843614	1.26851705604071	2.62563333242514	3.20965001532237	1.63777263072262	1.63777263072262	3.07266254103253	2.30295402866753	2.17374472129307
C8orf37	3.36572086025867	3.11152031972586	2.93408650389528	2.92116513511901	2.78715030080066	2.87732634409022	2.87732634409022	2.92116513511901	2.87732634409022	2.13860365812969	3.18118094493278	1.73705713687184
KIAA1967	4.70521225441586	4.05848791108005	4.52922629613562	3.60299213262624	4.31786018273816	3.733475675834	3.77478526812145	4.52922629613562	3.569662681857	3.36572086025867	3.91204480073569	3.59620392835603
KIAA0100	6.12274381134522	5.50528540394256	5.66929428288099	5.60304562759351	5.62779880484707	5.8310899650285	5.32859017339673	4.87605947142336	5.16804744744154	5.97167915887025	6.17225879870601	6.46836554813625
C4orf27	7.34961162895457	7.35900197535027	6.91981214482723	5.73789074137265	4.76307243570507	5.46934320169311	5.8253100826075	6.2454180668095	5.74106385519609	4.03004519446675	4.90162126108891	4.28157977010661
KIAA0586	3.11152031972586	3.11152031972586	3.48759949433808	2.92116513511901	2.94915634846485	3.02431903998484	2.87732634409022	3.569662681857	3.42524560316009	2.71278319460055	3.18118094493278	1.73705713687184
C10orf137	3.36572086025867	3.54293875607366	2.87732634409022	2.30295402866753	2.30295402866753	3.23066372635374	1.30831046809148	3.569662681857	2.87732634409022	2.71278319460055	2.94915634846485	2.90037817646403
C14orf166	7.47875783752378	7.44651874375485	7.35106204511553	7.82586897427241	8.05019930044017	7.84586642108369	7.79792095590998	7.89296396124364	7.67395491619947	6.47009659256638	5.92043586727927	5.98101858048314
C18orf21	2.17374472129307	3.54293875607366	2.93408650389528	2.92116513511901	3.18118094493278	3.23066372635374	2.1970718423639	4.2953883596332	3.69154798370386	2.71278319460055	1.58928020130354	2.17374472129307
C11orf31	6.91431992166756	7.08834055358619	6.72127339676929	6.9081953055089	7.05777931434054	6.96541781615467	7.03734425905214	6.97378672710878	7.01480024315002	4.85823059325894	4.74748559306413	5.47553446654173
C1orf131	3.36572086025867	2.92116513511901	3.569662681857	3.43277424255358	3.42524560316009	3.02431903998484	3.569662681857	4.71706564544672	4.03850990482812	2.93408650389528	3.91204480073569	2.17374472129307
C12orf65	2.17374472129307	2.92116513511901	2.13860365812969	2.13860365812969	2.30295402866753	2.1970718423639	1.30831046809148	1.63777263072262	2.13860365812969	2.30295402866753	3.18118094493278	2.17374472129307
KIAA0907	3.11152031972586	4.32793657710652	3.07266254103253	4.70521225441586	3.71350172066785	4.23551981732975	3.569662681857	2.92116513511901	4.03850990482812	5.01670912714153	4.74748559306413	3.94907140726129
SELT	6.34576941178648	6.23475360414086	6.28276285039302	6.76637024791922	6.57110861952369	6.77952503420935	5.57561933986505	3.569662681857	5.31929452764972	6.34099642329209	6.41253278635152	6.81388986396433
KIAA0101	9.4769196302339	9.2244215539156	9.38866757708567	7.62656238900915	8.4287494974752	8.05612991341288	8.98723505047723	9.3025920624941	8.80692616187767	1.91201534883867	2.02594977329521	2.90037817646403
